date,gross,turnover_cost,borrow_cost,net,held_gross_lev,stitched
2008-05-29,-979.707002828008,0.0,1.2793184656603356,-980.9863212936683,1.6577572285120499,False
2008-05-30,459.65166813720907,0.0,1.2793184656603356,458.37234967154876,1.6577572285120499,False
2008-06-02,598.7618198772041,4.570423774215919,1.2793184656603356,592.9120776373278,1.6577572285120499,False
2008-06-03,-267.8398367891897,0.0,1.2980821680538563,-269.1379189572435,1.6581198095275047,False
2008-06-04,-556.3715897968932,0.0,1.2980821680538563,-557.669671964947,1.6581198095275047,False
2008-06-05,31.54348965281439,0.0,1.2980821680538563,30.245407484760534,1.6581198095275047,False
2008-06-06,1766.877049326428,0.0,1.2980821680538563,1765.578967158374,1.6581198095275047,False
2008-06-09,-440.9246002697734,0.0,1.2980821680538563,-442.22268243782725,1.6581198095275047,False
2008-06-10,-666.6972619253453,0.0,1.2980821680538563,-667.9953440933991,1.6581198095275047,False
2008-06-11,953.2976521733433,0.0,1.2980821680538563,951.9995700052895,1.6581198095275047,False
2008-06-12,-911.5339356939505,0.0,1.2980821680538563,-912.8320178620044,1.6581198095275047,False
2008-06-13,-551.8817873090874,0.0,1.2980821680538563,-553.1798694771412,1.6581198095275047,False
2008-06-16,416.34652905075535,0.0,1.2980821680538563,415.0484468827015,1.6581198095275047,False
2008-06-17,504.3949711390662,0.0,1.2980821680538563,503.09688897101233,1.6581198095275047,False
2008-06-18,794.9738992111172,0.0,1.2980821680538563,793.6758170430634,1.6581198095275047,False
2008-06-19,-557.9185939297755,0.0,1.2980821680538563,-559.2166760978293,1.6581198095275047,False
2008-06-20,621.5122979741916,0.0,1.2980821680538563,620.2142158061378,1.6581198095275047,False
2008-06-23,198.8761168789507,0.0,1.2980821680538563,197.57803471089684,1.6581198095275047,False
2008-06-24,370.95105150905215,0.0,1.2980821680538563,369.6529693409983,1.6581198095275047,False
2008-06-25,-122.7475597853595,0.0,1.2980821680538563,-124.04564195341335,1.6581198095275047,False
2008-06-26,1432.6858206157406,0.0,1.2980821680538563,1431.3877384476866,1.6581198095275047,False
2008-06-27,682.6424118860322,0.0,1.2980821680538563,681.3443297179783,1.6581198095275047,False
2008-06-30,-273.70298112492424,0.0,1.2980821680538563,-275.0010632929781,1.6581198095275047,False
2008-07-01,249.12547749444627,32.70498514475308,1.2980821680538563,215.1224101816393,1.6581198095275047,False
2008-07-02,658.5056569224811,0.0,1.1327719487987842,657.3728849736823,1.3916418749961774,False
2008-07-03,-389.5331268930554,0.0,1.1327719487987842,-390.6658988418542,1.3916418749961774,False
2008-07-07,15.636072135423113,0.0,1.1327719487987842,14.50330018662433,1.3916418749961774,False
2008-07-08,-804.3875069239905,0.0,1.1327719487987842,-805.5202788727893,1.3916418749961774,False
2008-07-09,1033.1848888104528,0.0,1.1327719487987842,1032.052116861654,1.3916418749961774,False
2008-07-10,180.61342081520402,0.0,1.1327719487987842,179.48064886640523,1.3916418749961774,False
2008-07-11,326.76810105270727,0.0,1.1327719487987842,325.6353291039085,1.3916418749961774,False
2008-07-14,657.9832456454498,0.0,1.1327719487987842,656.850473696651,1.3916418749961774,False
2008-07-15,300.01772020240827,0.0,1.1327719487987842,298.8849482536095,1.3916418749961774,False
2008-07-16,-1414.8408412972572,0.0,1.1327719487987842,-1415.973613246056,1.3916418749961774,False
2008-07-17,-1170.3596212788798,0.0,1.1327719487987842,-1171.4923932276786,1.3916418749961774,False
2008-07-18,-525.6469608008643,0.0,1.1327719487987842,-526.7797327496631,1.3916418749961774,False
2008-07-21,114.07181829624794,0.0,1.1327719487987842,112.93904634744915,1.3916418749961774,False
2008-07-22,-1006.4202133894094,0.0,1.1327719487987842,-1007.5529853382081,1.3916418749961774,False
2008-07-23,-1094.2783819492547,0.0,1.1327719487987842,-1095.4111538980535,1.3916418749961774,False
2008-07-24,771.5199152952025,0.0,1.1327719487987842,770.3871433464037,1.3916418749961774,False
2008-07-25,-288.69747367936816,0.0,1.1327719487987842,-289.83024562816695,1.3916418749961774,False
2008-07-28,719.7967988290053,0.0,1.1327719487987842,718.6640268802065,1.3916418749961774,False
2008-07-29,-953.4481778371419,0.0,1.1327719487987842,-954.5809497859407,1.3916418749961774,False
